Time [s],Ch0
-0.010000000,1
-0.000000000,0
0.004532800,1
0.009040140,0
0.009600660,1
0.011281140,0
0.011850040,1
0.013530560,0
0.014091060,1
0.015771500,0
0.016340360,1
0.016925760,0
0.017460680,1
0.017969740,0
0.018581100,1
0.019090080,0
0.019709860,1
0.020295280,0
0.020830260,1
0.021339340,0
0.021950700,1
0.023639580,0
0.024199980,1
0.025880460,0
0.026449440,1
0.028129820,0
0.028690280,1
0.029199380,0
0.029810760,1
0.030319860,0
0.030939660,1
0.031525080,0
0.032060060,1
0.032645560,0
0.033180560,1
0.033689620,0
0.034309420,1
0.034894940,0
0.035429960,1
0.036015500,0
0.036550500,1
0.038230980,0
0.038799980,1
0.039385500,0
0.039920560,1
0.040429640,0
0.041041080,1
0.041550240,0
0.042170140,1
0.042755580,0
0.043290620,1
0.043876020,0
0.044411120,1
0.046091740,0
0.046660720,1
0.048341500,0
0.048901960,1
0.049411060,0
0.050022440,1
0.051711720,0
0.052272280,1
0.053953020,0
0.054521940,1
0.056202520,0
0.056762980,1
0.058443520,0
0.059012500,1
0.060692900,0
0.061253340,1
0.108180660,0
0.112706360,1
0.117214040,0
0.117783140,1
0.119463860,0
0.120024380,1
0.121705140,0
0.122274220,1
0.123954860,0
0.124515380,1
0.125024540,0
0.125644480,1
0.126230060,0
0.126765160,1
0.127350640,0
0.127885700,1
0.128394840,0
0.129006320,1
0.129515520,0
0.130135460,1
0.131815940,0
0.132376440,1
0.134057240,0
0.134626260,1
0.136306820,0
0.136867280,1
0.137376320,0
0.137987780,1
0.138496940,0
0.139116820,1
0.139702240,0
0.140237300,1
0.140746480,0
0.141357880,1
0.141866920,0
0.142486800,1
0.143072300,0
0.143607420,1
0.144192900,0
0.144727940,1
0.146408560,0
0.146977500,1
0.147562980,0
0.148098080,1
0.148683580,0
0.149218640,1
0.149727740,0
0.150339260,1
0.150848440,0
0.151468360,1
0.152053840,0
0.152588860,1
0.154269400,0
0.154829920,1
0.156510560,0
0.157079500,1
0.157664960,0
0.158199980,1
0.159880520,0
0.160449520,1
0.162130060,0
0.162690620,1
0.164371200,0
0.164940240,1
0.166620920,0
0.167181360,1
0.168861940,0
0.169430880,1
0.216359100,0
0.220884040,1
0.225391240,0
0.225951700,1
0.227640780,0
0.228201240,1
0.229881920,0
0.230442420,1
0.232122920,0
0.232691900,1
0.233277380,0
0.233812340,1
0.234321320,0
0.234932660,1
0.235441720,0
0.236061500,1
0.236646960,0
0.237181900,1
0.237690940,0
0.238302320,1
0.239982660,0
0.240551620,1
0.242232120,0
0.242792600,1
0.244481500,0
0.245041980,1
0.245627480,0
0.246162520,1
0.246671580,0
0.247283000,1
0.247792160,0
0.248412060,1
0.248997620,0
0.249532620,1
0.250041680,0
0.250653020,1
0.251162020,0
0.251781960,1
0.252367420,0
0.252902340,1
0.254582940,0
0.255143500,1
0.255652660,0
0.256272560,1
0.256858160,0
0.257393100,1
0.257902160,0
0.258513620,1
0.259022680,0
0.259642580,1
0.260228080,0
0.260763040,1
0.262443520,0
0.263004000,1
0.264693020,0
0.265253480,1
0.265838940,0
0.266373880,1
0.268054480,0
0.268623460,1
0.270304060,0
0.270864500,1
0.272545060,0
0.273114040,1
0.274794420,0
0.275354840,1
0.277043720,0
0.277604260,1
0.937363080,0
0.941895540,1
0.946401580,0
0.946961820,1
0.948650500,0
0.949210860,1
0.950890980,0
0.951459840,1
0.953140060,0
0.953700500,1
0.954209480,0
0.954820840,1
0.955329800,0
0.955949540,1
0.956534940,0
0.957069800,1
0.957578820,0
0.958190140,1
0.958699140,0
0.959318980,1
0.960999320,0
0.961559580,1
0.963239700,0
0.963808520,1
0.965488860,0
0.966049240,1
0.966558240,0
0.967178000,1
0.967763440,0
0.968298440,1
0.968807480,0
0.969418740,1
0.969927760,0
0.970547540,1
0.971132940,0
0.971667840,1
0.972176800,0
0.972788140,1
0.973297100,0
0.973916840,1
0.975597080,0
0.976157540,1
0.976666640,0
0.977277960,1
0.977786980,0
0.978406740,1
0.978992200,0
0.979527060,1
0.980035980,0
0.980647180,1
0.981156140,0
0.981775860,1
0.983455880,0
0.984016200,1
0.985704860,0
0.986265200,1
0.986850520,0
0.987385400,1
0.989065580,0
0.989634440,1
0.991314600,0
0.991875000,1
0.993555100,0
0.994123920,1
0.995804340,0
0.996364720,1
0.998053340,0
0.998613760,1
1.045540220,0
1.050072680,1
1.054579340,0
1.055139720,1
1.056828440,0
1.057388900,1
1.059069280,0
1.059629680,1
1.061318500,0
1.061878900,1
1.062387960,0
1.062999300,1
1.063508300,0
1.064128180,1
1.064713580,0
1.065248440,1
1.065833920,0
1.066368780,1
1.066877800,0
1.067497600,1
1.069177920,0
1.069738260,1
1.071418600,0
1.071987460,1
1.073667860,0
1.074228320,1
1.074737360,0
1.075357220,1
1.075942560,0
1.076477520,1
1.077063020,0
1.077598040,1
1.078107100,0
1.078718400,1
1.079227380,0
1.079847220,1
1.080432720,0
1.080967600,1
1.081476640,0
1.082087920,1
1.083776780,0
1.084337260,1
1.084846320,0
1.085457700,1
1.085966760,0
1.086586620,1
1.087172180,0
1.087707140,1
1.088292600,0
1.088827580,1
1.089336640,0
1.089956540,1
1.091637020,0
1.092197420,1
1.093877980,0
1.094446940,1
1.095032500,0
1.095567460,1
1.097247880,0
1.097816860,1
1.099497200,0
1.100057640,1
1.101737940,0
1.102306880,1
1.103987200,0
1.104547600,1
1.106228060,0
1.106797020,1
1.153728000,0
1.158252380,1
1.162759440,0
1.163328400,1
1.165008860,0
1.165569300,1
1.167249600,0
1.167818480,1
1.169498880,0
1.170059300,1
1.170568360,0
1.171179680,1
1.171688680,0
1.172308540,1
1.172893900,0
1.173428800,1
1.173937780,0
1.174549060,1
1.175058060,0
1.175677860,1
1.177358080,0
1.177918560,1
1.179598820,0
1.180167660,1
1.181847880,0
1.182408240,1
1.182917280,0
1.183537080,1
1.184122600,0
1.184657520,1
1.185242920,0
1.185777900,1
1.186286980,0
1.186906900,1
1.187492440,0
1.188027320,1
1.188612820,0
1.189147740,1
1.189656760,0
1.190268040,1
1.191956840,0
1.192517340,1
1.193102880,0
1.193637840,1
1.194146900,0
1.194758320,1
1.195267320,0
1.195887180,1
1.196472620,0
1.197007580,1
1.197516640,0
1.198128020,1
1.199808440,0
1.200377360,1
1.202057900,0
1.202618320,1
1.203127340,0
1.203747200,1
1.205427700,0
1.205988200,1
1.207668700,0
1.208237600,1
1.209917960,0
1.210478400,1
1.212158760,0
1.212727620,1
1.214407920,0
1.214968340,1
1.261893060,0
1.266426220,1
1.270933340,0
1.271493820,1
1.273182880,0
1.273743320,1
1.275423660,0
1.275992580,1
1.277673220,0
1.278233780,1
1.278742860,0
1.279354340,1
1.279863440,0
1.280474880,1
1.280984020,0
1.281603960,1
1.282189480,0
1.282724480,1
1.283233560,0
1.283844960,1
1.285525420,0
1.286094320,1
1.287774740,0
1.288335140,1
1.290024020,0
1.290584500,1
1.291170000,0
1.291704880,1
1.292213900,0
1.292833780,1
1.293419140,0
1.293954000,1
1.294539380,0
1.295074280,1
1.295583320,0
1.296194680,1
1.296703760,0
1.297323580,1
1.297909040,0
1.298444040,1
1.300124560,0
1.300693520,1
1.301279040,0
1.301813960,1
1.302399380,0
1.302934320,1
1.303443360,0
1.304054680,1
1.304563720,0
1.305183520,1
1.305768920,0
1.306303820,1
1.307984060,0
1.308553020,1
1.310233340,0
1.310793760,1
1.311302780,0
1.311914180,1
1.313602980,0
1.314163420,1
1.315843760,0
1.316412720,1
1.318093140,0
1.318653540,1
1.320334020,0
1.320902920,1
1.322583360,0
1.323143820,1
2.498520920,1
