Time [s],Ch0
-0.010000000,1
0.000000000,0
0.002375920,1
0.002969660,0
0.003580860,1
0.004166040,0
0.004777220,1
0.005370940,0
0.005982100,1
0.006567360,0
0.007178520,1
0.007763760,0
0.008374980,1
0.008968780,0
0.009571500,1
0.010165180,0
0.010776320,1
0.011361560,0
0.011972720,1
0.012566340,0
0.013771520,1
0.014365240,0
0.014967880,1
0.015561540,0
0.016766640,1
0.017360440,0
0.018565660,1
0.019159360,0
0.019770520,1
0.020355760,0
0.021569360,1
0.022154540,0
0.022765620,1
0.023359320,0
0.023962040,1
0.024555820,0
0.025166980,1
0.025752240,0
0.026965900,1
0.027551100,0
0.028764800,1
0.029350220,0
0.030563980,1
0.045387340,0
0.047771900,1
0.048365640,0
0.048968340,1
0.049562040,0
0.050173180,1
0.050758380,0
0.051369440,1
0.051963040,0
0.052565680,1
0.053159400,0
0.053770520,1
0.054355720,0
0.054966800,1
0.055560600,0
0.056163240,1
0.056757060,0
0.057368180,1
0.057953380,0
0.059167040,1
0.059752280,0
0.060363380,1
0.060957160,0
0.062162280,1
0.062756000,0
0.063961000,1
0.064554720,0
0.065157340,1
0.065751040,0
0.066956180,1
0.067549680,0
0.068160760,1
0.068745920,0
0.069357020,1
0.069950720,0
0.070553300,1
0.071147040,0
0.072352000,1
0.072945740,0
0.074150920,1
0.074744740,0
0.075949860,1
0.090747040,0
0.093131540,1
0.093716740,0
0.094327900,1
0.094921600,0
0.095524380,1
0.096118080,0
0.096729260,1
0.097314520,0
0.097925740,1
0.098519460,0
0.099122200,1
0.099715960,0
0.100327060,1
0.100912180,0
0.101523360,1
0.102116980,0
0.102719640,1
0.103313420,0
0.104518560,1
0.105112240,0
0.105723340,1
0.106308540,0
0.107522120,1
0.108107240,0
0.109320760,1
0.109906000,0
0.110517220,1
0.111110960,0
0.112316040,1
0.112909600,0
0.113512280,1
0.114106020,0
0.114717200,1
0.115302440,0
0.115913640,1
0.116498900,0
0.117712500,1
0.118306320,0
0.119511440,1
0.120105200,0
0.121310300,1
0.171958280,0
0.174342920,1
0.174928180,0
0.175539360,1
0.176133140,0
0.176735780,1
0.177329460,0
0.177940640,1
0.178525860,0
0.179136980,1
0.179730560,0
0.180333220,1
0.180926940,0
0.181538100,1
0.182123300,0
0.182734420,1
0.183328140,0
0.183930800,1
0.184524480,0
0.185729540,1
0.186323260,0
0.186934500,1
0.187519820,0
0.188733400,1
0.189318560,0
0.190532200,1
0.191117500,0
0.191728740,1
0.192322440,0
0.193527440,1
0.194121140,0
0.194723820,1
0.195317560,0
0.195928760,1
0.196514060,0
0.197125200,1
0.197710400,0
0.198923960,1
0.199509240,0
0.200723000,1
0.201308220,0
0.202521880,1
0.217353160,0
0.219729140,1
0.220322800,0
0.220933900,1
0.221519120,0
0.222130240,1
0.222723940,0
0.223326620,1
0.223920340,0
0.224531460,1
0.225116660,0
0.225727800,1
0.226321520,0
0.226924160,1
0.227517840,0
0.228128960,1
0.228714180,0
0.229325280,1
0.229919020,0
0.231124240,1
0.231717940,0
0.232320580,1
0.232914280,0
0.234119400,1
0.234713120,0
0.235918300,1
0.236512020,0
0.237123160,1
0.237708420,0
0.238921980,1
0.239507260,0
0.240118400,1
0.240712140,0
0.241314780,1
0.241908580,0
0.242519780,1
0.243104940,0
0.244318500,1
0.244903720,0
0.246117340,1
0.246702500,0
0.247916100,1
0.262705160,0
0.265089780,1
0.265683720,0
0.266286460,1
0.266880240,0
0.267491400,1
0.268076560,0
0.268687700,1
0.269281460,0
0.269884100,1
0.270477860,0
0.271089140,1
0.271674460,0
0.272285700,1
0.272870940,0
0.273482160,1
0.274075940,0
0.274678600,1
0.275272320,0
0.276477400,1
0.277071140,0
0.277682280,1
0.278267560,0
0.279481280,1
0.280066520,0
0.281280000,1
0.281865200,0
0.282476300,1
0.283070040,0
0.284275200,1
0.284868940,0
0.285471700,1
0.286065380,0
0.286676480,1
0.287261720,0
0.287872940,1
0.288466640,0
0.289671680,1
0.290265440,0
0.291470400,1
0.292064120,0
0.293269160,1
2.076595920,1
